"Player","Team","Bye","POS","ESPN","ADP"
"Luke Musgrave","GB","5","TE36","275","275"
"Mason Crosby","","","K33","276","276"
"Zamir White","LV","8","RB58","277","277"
"AJ Barner","SEA","8","TE37","278","278"
"John Samuel Shenker","","","TE38","279","279"
"Joshua Dobbs","NE","14","QB39","280","280"
"Tanner McKee","PHI","9","QB40","281","281"
"Jude McAtamney","NYG","14","K34","282","282"
"Tommy DeVito","NYG","14","QB41","283","283"
"Austin Hooper","NE","14","TE39","284","284"
"Jake Bobo","SEA","8","WR80","285","285"
"Tim Patrick","DET","8","WR81","286","286"
"LaJohntay Wester","BAL","7","WR82","287","287"
"J.J. Taylor","HOU","6","RB59","288","288"
"Chad Ryland","ARI","8","K35","289","289"
"Terrance Ferguson","LAR","8","TE40","290","290"
"Efton Chism III","NE","14","WR83","291","291"
"Ezekiel Elliott","","","RB60","292","292"
"Julian Hill","MIA","12","TE41","293","293"
"Mack Hollins","NE","14","WR84","294","294"
"Troy Franklin","DEN","12","WR85","295","295"
"KeAndre Lambert-Smith","LAC","12","WR86","296","296"
"Brock Wright","DET","8","TE42","297","297"
"Joey Slye","TEN","10","K36","298","298"
"Mason Rudolph","PIT","5","QB42","299","299"
"Roman Wilson","PIT","5","WR87","300","300"
"Luke Schoonmaker","DAL","10","TE43","301","301"
"Equanimeous St. Brown","SF","14","WR88","302","302"
"Kayshon Boutte","NE","14","WR89","303","303"
"Matt Barkley","","","QB43","304","304"
"Quinn Ewers","MIA","12","QB44","305","305"
"Jalen Royals","KC","10","WR90","306","306"
"Joe Milton III","DAL","10","QB45","307","307"
"Ben DiNucci","","","QB46","308","308"
"Mitchell Evans","CAR","14","TE44","309","309"
"Nathan Rourke","","","QB47","310","310"
"Jalin Hyatt","NYG","14","WR91","311","311"
"Harold Fannin Jr.","CLE","9","TE45","312","312"
"Kadarius Toney","","","WR92","313","313"
"Malik Willis","GB","5","QB48","314","314"
"DeWayne McBride","","","RB61","315","315"
"Ja'Corey Brooks","WAS","12","WR93","316","316"
"Grant Calcaterra","PHI","9","TE46","317","317"
"Elijah Higgins","ARI","8","TE47","318","318"
"Parker Romo","NE","14","K37","319","319"
"Justice Hill","BAL","7","RB62","320","320"
"Carson Steele","KC","10","RB63","321","321"
"Daniel Bellinger","NYG","14","TE48","322","322"
"Dalvin Cook","","","RB64","323","323"
"Hendon Hooker","DET","8","QB49","324","324"
"Kendrick Bourne","NE","14","WR94","325","325"
"Josh Oliver","MIN","6","TE49","326","326"
"Kalif Raymond","DET","8","WR95","327","327"
"Spencer Shrader","IND","11","K38","328","328"
"Craig Reynolds","DET","8","RB65","329","329"
"Will Howard","PIT","5","QB50","330","330"
"Elijah Moore","BUF","7","WR96","331","331"
"Tommy Tremble","CAR","14","TE50","332","332"
"Olamide Zaccheaus","CHI","5","WR97","333","333"
"Robert Woods","PIT","5","WR98","334","334"
"Max Duggan","","","QB51","335","335"
"Mitchell Trubisky","BUF","7","QB52","336","336"
