"Player","Team","POS","ATT","YDS","TDS","REC","YDS","TDS","FL","FPTS"
"D'Andre Swift","CHI","RB21","237.0","961.3","6.1","36.6","284.1","1.2","1.1","166.5"
"Mike Evans","TB","WR12","0.0","0.0","0.0","79.7","1,072.0","9.9","0.5","165.9"
"Ladd McConkey","LAC","WR13","0.0","1.4","0.0","90.5","1,209.5","7.4","0.7","163.9"
"Tee Higgins","CIN","WR14","0.0","0.0","0.0","86.6","1,099.9","8.9","0.9","161.7"
"TreVeyon Henderson","NE","RB22","210.6","925.2","5.9","33.7","263.0","1.5","1.7","160.1"
"Tony Pollard","TEN","RB23","233.2","979.4","5.5","40.0","257.5","0.9","1.0","160.0"
"Davante Adams","LAR","WR15","0.3","0.0","0.0","85.2","1,100.3","8.3","0.5","159.1"
"Terry McLaurin","WAS","WR16","1.1","4.8","0.0","83.2","1,110.0","8.2","0.9","158.9"
"Aaron Jones Sr.","MIN","RB24","198.2","887.1","4.4","44.8","329.4","2.3","1.8","158.0"
"DK Metcalf","PIT","WR17","0.0","1.2","0.0","77.8","1,138.0","7.3","1.3","154.9"
"Marvin Harrison Jr.","ARI","WR18","0.0","3.2","0.0","78.9","1,089.6","7.6","1.0","153.0"
"Jaxon Smith-Njigba","SEA","WR19","2.7","20.7","0.0","93.7","1,102.6","6.6","0.6","150.8"
"Brock Bowers","LV","TE1","0.0","8.0","0.0","106.1","1,129.3","6.1","0.5","149.4"
"George Kittle","SF","TE2","0.0","0.0","0.0","75.8","1,029.5","7.5","0.5","146.7"
"Xavier Worthy","KC","WR20","15.4","84.4","1.3","71.3","884.3","7.1","0.5","146.4"
"Zay Flowers","BAL","WR21","8.2","48.4","0.1","75.9","1,034.4","6.3","0.5","145.8"
"Isiah Pacheco","KC","RB25","203.0","836.0","5.7","33.1","226.2","1.0","1.0","144.7"
"RJ Harvey","DEN","RB26","182.5","791.6","5.4","33.4","256.8","1.6","1.3","144.4"
"Courtland Sutton","DEN","WR22","0.0","0.2","0.0","76.5","1,015.8","7.4","0.9","144.2"
"DJ Moore","CHI","WR23","9.5","53.8","0.1","87.1","1,013.4","6.3","0.9","143.7"
"Jameson Williams","DET","WR24","7.4","63.4","0.8","60.8","963.5","6.1","0.5","143.2"
"Joe Mixon","HOU","RB27","184.5","736.1","6.6","31.0","237.1","1.3","0.9","143.1"
"Garrett Wilson","NYJ","WR25","1.9","13.5","0.0","90.5","1,083.8","6.0","1.3","143.0"
"Kaleb Johnson","PIT","RB28","196.7","828.7","6.4","23.2","178.0","1.0","1.7","141.8"
"Calvin Ridley","TEN","WR26","5.6","33.4","0.3","70.1","1,025.2","6.0","0.9","141.7"
"Tyrone Tracy Jr.","NYG","RB29","189.4","806.8","5.0","35.4","261.0","1.1","1.6","139.8"
"Trey McBride","ARI","TE3","0.0","1.5","0.0","104.4","1,052.7","5.8","0.5","139.5"
"George Pickens","DAL","WR27","1.0","6.2","0.0","69.2","1,012.6","6.4","0.9","138.7"
"DeVonta Smith","PHI","WR28","0.3","1.2","0.0","81.2","976.9","6.8","0.5","137.6"
"Jerry Jeudy","CLE","WR29","0.3","4.8","0.0","81.3","1,096.9","4.1","0.6","133.9"
"Deebo Samuel Sr.","WAS","WR30","29.2","124.2","1.2","64.8","830.0","5.1","1.0","131.2"
"Tetairoa McMillan","CAR","WR31","0.5","7.4","0.0","73.9","962.1","5.8","1.2","129.2"
"Jaylen Warren","PIT","RB30","149.6","682.5","3.6","47.5","347.2","1.1","1.1","129.0"
"Jakobi Meyers","LV","WR32","1.2","8.9","0.0","82.3","964.6","5.3","0.5","128.3"
"Jaylen Waddle","MIA","WR33","2.5","16.1","0.1","75.5","965.4","4.9","0.5","126.6"
"Quinshon Judkins","CLE","RB31","184.2","754.2","5.0","23.0","173.9","1.0","1.3","126.4"
"Matthew Golden","GB","WR34","0.5","9.4","0.0","64.1","891.4","6.0","0.8","124.3"
"Jauan Jennings","SF","WR35","3.6","15.7","0.1","67.8","892.5","5.2","0.6","121.7"
